hhid,Wave,Site,hours,days,cost,subsidy
321203006,1997,1,,,200,0
321203006,2000,1,,,200,
321203007,2000,1,,,150,
321203007,2004,1,,,150,
321203008,1997,1,,,60,
321203008,2000,1,,,200,30
321203009,1997,1,,,45,
321203009,2000,1,,,,
321203011,1997,1,,,,
321203011,2000,1,,,200,
321203012,1997,1,,,45,
321203013,1989,1,7,6,40,
321203015,2000,1,,,50,
321203017,1997,1,,,100,22
321203018,2006,1,,,300,
321203020,1989,1,4,4,70,8
321203041,1997,1,,,100,
321206003,2004,1,,,200,
321206004,1997,1,,,200,
321206004,2000,1,,,30,
321206005,2004,1,,,300,
321206011,2000,1,,,40,
321206012,2000,1,,,50,
321206016,1997,1,,,100,
321206019,1997,1,,,100,
321208005,1997,1,,,,
321208011,2000,1,,,,
321208011,2006,1,,,,
321208014,1997,1,,,80,
321208014,2000,1,,,,
321208015,2006,1,,,,
321208016,1997,1,,,90,0
321208016,2000,1,,,200,
321208019,1997,1,,,200,
321208019,2000,1,,,15,
321208020,2000,1,,,60,
322101001,1989,2,,,,
322101004,1989,2,,,,
322101008,1997,2,,,100,
322101009,1989,2,,,,
322101011,1997,2,,,100,
322101012,1989,2,,,,
322101015,1989,2,3,6,0,
322101016,1997,2,,,200,
322101018,1989,2,,,30,20
322101018,1991,2,,,60,
322101020,1989,2,,,,
322101041,1997,2,,,10,
322101043,1997,2,,,70,0
322101044,1997,2,,,70,
322101046,1997,2,,,12,
322102002,1989,2,,,20,
322102002,2006,2,,,50,
322102004,2006,2,,,200,
322102007,1993,2,,,,
322102008,1989,2,,0,,
322102009,1989,2,2,6,0,
322102010,1997,2,,,10,0
322102014,2000,2,,,20,
322102014,2006,2,,,100,
322102015,1993,2,,,,
322102017,2006,2,,,150,
322102018,1989,2,1,7,10,
322102018,1993,2,,,15,
322102018,1997,2,,,20,
322102019,1989,2,,,10,
322102019,1993,2,,,,9
322102031,1993,2,,,10,
322103001,2004,2,,,120,
322103002,1989,2,3,3,0,
322103006,1997,2,,,,
322103013,2004,2,,,300,
322103014,1997,2,,,10,0
322103016,1993,2,,,4,
322103017,2006,2,,,200,
322103018,1989,2,,,,
322103018,2006,2,,,400,
322104004,2000,2,,,15,
322104008,2004,2,,,100,
322104008,2006,2,,,,
322104010,2004,2,,,35,
322104011,2004,2,,,80,
322104061,2000,2,,,30,
322105002,2006,2,,,100,
322105003,2000,2,,,50,
322105005,2000,2,,,40,
322105006,2000,2,,,40,
322105007,2000,2,,,50,
322105007,2004,2,,,200,
322105012,2000,2,,,40,
322105017,2000,2,,,30,
322105020,2006,2,,,200,
322201002,1993,2,,,80,0
322201006,1989,2,5,6,,
322201006,1991,2,,,10,
322201006,1993,2,,,50,
322201007,1989,2,,,,2.5
322201007,1993,2,,,30,
322201008,1989,2,,1,,
322201008,1991,2,,,40,10
322201011,1989,2,,,,
322201012,1989,2,6,6,80,8
322201013,1989,2,,0,1,
322201013,1991,2,,,50,10
322201013,1993,2,,,,
322201014,1993,2,,,,
322201017,1993,2,,,,
322202001,2004,2,,,70,
322202001,2006,2,,,60,
322202004,1989,2,7,6,10,
322202007,1997,2,,,150,
322202009,1997,2,,,,
322202009,2000,2,,,,
322202010,1989,2,,,,
322202010,1997,2,,,8,0
322202011,2004,2,,,60,
322202018,2000,2,,,100,
322202018,2004,2,,,50,
322202019,1993,2,,,45,
322202031,1997,2,,,70,
322202032,1993,2,,,10,
322203002,2004,2,,,100,
322203002,2006,2,,,200,
322203003,1993,2,,,4,
322203004,1989,2,4,2,5,
322203004,1991,2,,,10,
322203004,2006,2,,,300,
322203007,2004,2,,,120,40
322203009,1989,2,,,120,
322203009,2006,2,,,,
322203010,2004,2,,,150,
322203010,2006,2,,,300,
322203014,2004,2,,,50,
322203015,1989,2,5,6,4,
322203017,1989,2,,,30,
322203017,1991,2,,,40,
322203017,1993,2,,,,
322203019,1989,2,,,,
322203019,1993,2,,,20,
322203020,1989,2,,,,
322203031,1993,2,,,6,
322203031,2000,2,,,10,
322203042,1997,2,,,45,
322203061,2000,2,,,60,
322204002,2006,2,,,150,
322204003,1989,2,10,6,,
322204003,1991,2,,,30,
322204003,1993,2,,,10,
322204003,2006,2,,,300,
322204012,2000,2,,,45,
322204016,1991,2,,,5,
322204020,1993,2,,,10,
322204041,1997,2,,,50,0
322204081,2006,2,,,200,
322205001,2000,2,,,250,
322205017,1997,2,,,100,
322205017,2000,2,,,200,15
322209002,2006,2,,,,30
322209019,2004,2,,,400,
322209019,2006,2,,,120,
322301003,1989,2,,,20,4
322301003,1991,2,,,60,10
322301004,1989,2,,,10,
322301004,1993,2,,,66,
322301010,1989,2,,,17,4
322301011,1989,2,7,3,60,
322301013,1989,2,8,5,50,
322301018,1989,2,,,,
322301018,1991,2,,,50,
322302002,1989,2,5,7,10,
322302002,1993,2,,,30,
322302004,2004,2,,,100,
322302004,2006,2,,,200,
322302006,1989,2,2,4,10,
322302009,1989,2,,,15,
322302011,1997,2,,,60,
322302011,2000,2,,,100,
322302014,1997,2,,,50,
322302016,1989,2,,,10,
322302016,1993,2,,,20,
322302017,1989,2,,,10,
322302018,1989,2,,,50,
322302019,1989,2,,,30,
322302019,1993,2,,,20,
322302020,1989,2,8,3,10,
322302061,2000,2,,,80,
322302061,2004,2,,,70,
322303005,1989,2,,,40,
322303005,1993,2,,,15,
322303009,1989,2,4,5,4,
322303009,1993,2,,,21,
322303010,1989,2,2,2,10,
322303013,1989,2,,,20,
322303016,1989,2,,,10,
322303018,1991,2,,,30,
322303020,1997,2,,,60,
322303020,2000,2,,,,
322303061,2000,2,,,100,
322304001,1989,2,2,3,10,
322304002,1989,2,2,3,10,
322304006,1989,2,,,10,
322304011,1997,2,,,100,
322304011,2000,2,,,150,
322304011,2004,2,,,50,
322304012,1989,2,6,7,10,
322304013,2004,2,,,300,
322304016,1997,2,,,50,
322304019,1989,2,0,0,15,
322304041,1997,2,,,100,
322304041,2000,2,,,150,
322304062,2000,2,,,60,
322305001,1997,2,,,100,
322305001,2000,2,,,300,
322305002,1997,2,,,100,
322305004,1997,2,,,200,
322305005,1997,2,,,100,
322305006,1997,2,,,150,15
322305007,1997,2,,,300,20
322305008,1997,2,,,200,20
322305010,1997,2,,,100,15
322305013,1997,2,,,300,
322305014,1997,2,,,100,
322305019,1997,2,,,100,
322305020,1997,2,,,15,
322305020,2000,2,,,400,25
322305062,2004,2,,,200,20
322305062,2006,2,,,200,
322401003,1993,2,,,40,9
322401007,1989,2,,,,
322401011,1989,2,,0,30,
322401011,1991,2,,,23,10
322401011,1993,2,,,40,9
322401012,1993,2,,,40,
322401012,1997,2,,,100,
322401018,1989,2,,0,10,
322401018,1991,2,,,40,20
322401018,1993,2,,,40,9
322401019,1993,2,,,40,9
322401041,1997,2,,,80,0
322401042,1997,2,,,100,
322401061,2000,2,,,200,
322401103,2006,2,,,,
322402001,1989,2,,,20,
322402001,1993,2,,,,
322402001,1997,2,,,,
322402001,2000,2,,,40,
322402002,1989,2,6,6,20,
322402004,1997,2,,,,
322402004,2000,2,,,40,
322402006,1989,2,1,2,10,
322402006,1993,2,,,20,
322402006,1997,2,,,,
322402006,2000,2,,,40,
322402007,1989,2,10,5,40,
322402007,1993,2,,,10,
322402007,2006,2,,,200,
322402008,1993,2,,,5,
322402008,1997,2,,,,
322402008,2000,2,,,80,
322402009,1989,2,2,2,10,
322402010,1993,2,,,10,
322402010,1997,2,,,,
322402011,1993,2,,,60,
322402012,1993,2,,,30,
322402012,2000,2,,,10,
322402013,1989,2,6,6,10,
322402014,1989,2,,,15,
322402014,1993,2,,,,
322402015,1989,2,,,20,
322402015,1993,2,,,10,
322402016,1989,2,,,20,
322402016,1993,2,,,40,
322402017,1997,2,,,,
322402017,2000,2,,,120,
322402019,1989,2,,,10,
322402020,2000,2,,,40,
322402020,2004,2,,,140,
322402020,2006,2,,,50,
322403001,1993,2,,,15,
322403002,2000,2,,,,
322403004,1989,2,5,7,30,
322403004,1991,2,,,,10
322403004,1993,2,,,40,
322403005,1989,2,,,30,
322403010,1989,2,,,10,
322403014,1989,2,,0,30,
322403014,1993,2,,,10,
322403015,2000,2,,,,0
322403018,1993,2,,,15,
322403018,1997,2,,,80,
322403019,1993,2,,,20,
322404001,1989,2,8,6,20,
322404004,1993,2,,,23,
322404006,1989,2,4,7,20,
322404007,2000,2,,,150,
322404010,1989,2,6,6,50,
322404011,1993,2,,,10,
322404011,1997,2,,,150,
322404013,2000,2,,,60,
322404014,2006,2,,,150,
322404018,1989,2,,,30,
322404018,1993,2,,,20,
